code_name,href,context
A01AA,/?code=A01AA&showdescription=yes,Caries prophylactic agents
A01AB,/?code=A01AB&showdescription=yes,Antiinfectives and antiseptics for local oral treatment
A01AC,/?code=A01AC&showdescription=yes,Corticosteroids for local oral treatment
A01AD,/?code=A01AD&showdescription=yes,Other agents for local oral treatment
A02AA,/?code=A02AA&showdescription=yes,Magnesium compounds
A02AB,/?code=A02AB&showdescription=yes,Aluminium compounds
A02AC,/?code=A02AC&showdescription=yes,Calcium compounds
A02AD,/?code=A02AD&showdescription=yes,"Combinations and complexes of aluminium, calcium and magnesium compounds"
A02AF,/?code=A02AF&showdescription=yes,Antacids with antiflatulents
A02AG,/?code=A02AG&showdescription=yes,Antacids with antispasmodics
A02AH,/?code=A02AH&showdescription=yes,Antacids with sodium bicarbonate
A02AX,/?code=A02AX&showdescription=yes,"Antacids, other combinations"
A02BA,/?code=A02BA&showdescription=yes,H2-receptor antagonists
A02BB,/?code=A02BB&showdescription=yes,Prostaglandins
A02BC,/?code=A02BC&showdescription=yes,Proton pump inhibitors
A02BD,/?code=A02BD&showdescription=yes,Combinations for eradication of Helicobacter pylori
A02BX,/?code=A02BX&showdescription=yes,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
A03AA,/?code=A03AA&showdescription=yes,"Synthetic anticholinergics, esters with tertiary amino group"
A03AB,/?code=A03AB&showdescription=yes,"Synthetic anticholinergics, quaternary ammonium compounds"
A03AC,/?code=A03AC&showdescription=yes,"Synthetic antispasmodics, amides with tertiary amines"
A03AD,/?code=A03AD&showdescription=yes,Papaverine and derivatives
A03AE,/?code=A03AE&showdescription=yes,Serotonin receptor antagonists
A03AX,/?code=A03AX&showdescription=yes,Other drugs for functional gastrointestinal disorders
A03BA,/?code=A03BA&showdescription=yes,"Belladonna alkaloids, tertiary amines"
A03BB,/?code=A03BB&showdescription=yes,"Belladonna alkaloids, semisynthetic, quaternary ammonium compounds"
A03CA,/?code=A03CA&showdescription=yes,Synthetic anticholinergic agents in combination with psycholeptics
A03CB,/?code=A03CB&showdescription=yes,Belladonna and derivatives in combination with psycholeptics
A03CC,/?code=A03CC&showdescription=yes,Other antispasmodics in combination with psycholeptics
A03DA,/?code=A03DA&showdescription=yes,Synthetic anticholinergic agents in combination with analgesics
A03DB,/?code=A03DB&showdescription=yes,Belladonna and derivatives in combination with analgesics
A03DC,/?code=A03DC&showdescription=yes,Other antispasmodics in combination with analgesics
A03EA,/?code=A03EA&showdescription=yes,"Antispasmodics, psycholeptics and analgesics in combination"
A03ED,/?code=A03ED&showdescription=yes,Antispasmodics in combination with other drugs
A03FA,/?code=A03FA&showdescription=yes,Propulsives
A04AA,/?code=A04AA&showdescription=yes,Serotonin (5HT3) antagonists
A04AD,/?code=A04AD&showdescription=yes,Other antiemetics
A05AA,/?code=A05AA&showdescription=yes,Bile acids and derivatives
A05AB,/?code=A05AB&showdescription=yes,Preparations for biliary tract therapy
A05AX,/?code=A05AX&showdescription=yes,Other drugs for bile therapy
A05BA,/?code=A05BA&showdescription=yes,Liver therapy
A06AA,/?code=A06AA&showdescription=yes,"Softeners, emollients"
A06AB,/?code=A06AB&showdescription=yes,Contact laxatives
A06AC,/?code=A06AC&showdescription=yes,Bulk-forming laxatives
A06AD,/?code=A06AD&showdescription=yes,Osmotically acting laxatives
A06AG,/?code=A06AG&showdescription=yes,Enemas
A06AH,/?code=A06AH&showdescription=yes,Peripheral opioid receptor antagonists
A06AX,/?code=A06AX&showdescription=yes,Other drugs for constipation
A07AA,/?code=A07AA&showdescription=yes,Antibiotics
A07AB,/?code=A07AB&showdescription=yes,Sulfonamides
A07AC,/?code=A07AC&showdescription=yes,Imidazole derivatives
A07AX,/?code=A07AX&showdescription=yes,Other intestinal antiinfectives
A07BA,/?code=A07BA&showdescription=yes,Charcoal preparations
A07BB,/?code=A07BB&showdescription=yes,Bismuth preparations
A07BC,/?code=A07BC&showdescription=yes,Other intestinal adsorbents
A07CA,/?code=A07CA&showdescription=yes,Oral rehydration salt formulations
A07DA,/?code=A07DA&showdescription=yes,Antipropulsives
A07EA,/?code=A07EA&showdescription=yes,Corticosteroids acting locally
A07EB,/?code=A07EB&showdescription=yes,"Antiallergic agents, excl. corticosteroids"
A07EC,/?code=A07EC&showdescription=yes,Aminosalicylic acid and similar agents
A07FA,/?code=A07FA&showdescription=yes,Antidiarrheal microorganisms
A07XA,/?code=A07XA&showdescription=yes,Other antidiarrheals
A08AA,/?code=A08AA&showdescription=yes,Centrally acting antiobesity products
A08AB,/?code=A08AB&showdescription=yes,Peripherally acting antiobesity products
A08AX,/?code=A08AX&showdescription=yes,Other antiobesity drugs
A09AA,/?code=A09AA&showdescription=yes,Enzyme preparations
A09AB,/?code=A09AB&showdescription=yes,Acid preparations
A09AC,/?code=A09AC&showdescription=yes,"Enzyme and acid preparations, combinations"
A10AB,/?code=A10AB&showdescription=yes,"Insulins and analogues for injection, fast-acting"
A10AC,/?code=A10AC&showdescription=yes,"Insulins and analogues for injection, intermediate-acting"
A10AD,/?code=A10AD&showdescription=yes,"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting"
A10AE,/?code=A10AE&showdescription=yes,"Insulins and analogues for injection, long-acting"
A10AF,/?code=A10AF&showdescription=yes,Insulins and analogues for inhalation
A10BA,/?code=A10BA&showdescription=yes,Biguanides
A10BB,/?code=A10BB&showdescription=yes,Sulfonylureas
A10BC,/?code=A10BC&showdescription=yes,Sulfonamides (heterocyclic)
A10BD,/?code=A10BD&showdescription=yes,Combinations of oral blood glucose lowering drugs
A10BF,/?code=A10BF&showdescription=yes,Alpha glucosidase inhibitors
A10BG,/?code=A10BG&showdescription=yes,Thiazolidinediones
A10BH,/?code=A10BH&showdescription=yes,Dipeptidyl peptidase 4 (DPP-4) inhibitors
A10BJ,/?code=A10BJ&showdescription=yes,Glucagon-like peptide-1 (GLP-1) analogues
A10BK,/?code=A10BK&showdescription=yes,Sodium-glucose co-transporter 2 (SGLT2) inhibitors
A10BX,/?code=A10BX&showdescription=yes,"Other blood glucose lowering drugs, excl. insulins"
A10XA,/?code=A10XA&showdescription=yes,Aldose reductase inhibitors
A11AA,/?code=A11AA&showdescription=yes,Multivitamins with minerals
A11AB,/?code=A11AB&showdescription=yes,"Multivitamins, other combinations"
A11BA,/?code=A11BA&showdescription=yes,"Multivitamins, plain"
A11CA,/?code=A11CA&showdescription=yes,"Vitamin A, plain"
A11CB,/?code=A11CB&showdescription=yes,Vitamin A and D in combination
A11CC,/?code=A11CC&showdescription=yes,Vitamin D and analogues
A11DA,/?code=A11DA&showdescription=yes,"Vitamin B1, plain"
A11DB,/?code=A11DB&showdescription=yes,Vitamin B1 in combination with vitamin B6 and/or vitamin B12
A11EA,/?code=A11EA&showdescription=yes,"Vitamin B-complex, plain"
A11EB,/?code=A11EB&showdescription=yes,Vitamin B-complex with vitamin C
A11EC,/?code=A11EC&showdescription=yes,Vitamin B-complex with minerals
A11ED,/?code=A11ED&showdescription=yes,Vitamin B-complex with anabolic steroids
A11EX,/?code=A11EX&showdescription=yes,"Vitamin B-complex, other combinations"
