ATC code,Name,DDD,U,Adm.R,Note
A01AA01,sodium fluoride,1.1,mg,O,0.5 mg fluoride
A01AA02,sodium monofluorophosphate,,,,
A01AA03,olaflur,1.1,mg,O,
A01AA04,stannous fluoride,,,,
A01AA30,combinations,,,,
A01AA51,"sodium fluoride, combinations",,,,
A01AB02,hydrogen peroxide,60,mg,O,
A01AB03,chlorhexidine,30,mg,O,
A01AB04,amphotericin B,40,mg,O,
A01AB05,polynoxylin,0.18,g,O,
A01AB06,domiphen,3,mg,O,
A01AB07,oxyquinoline,80,mg,O,
A01AB08,neomycin,,,,
A01AB09,miconazole,0.2,g,O,
A01AB10,natamycin,20,mg,O,
A01AB11,various,,,,
A01AB12,hexetidine,,,,
A01AB13,tetracycline,,,,
A01AB14,benzoxonium chloride,,,,
A01AB15,tibezonium iodide,,,,
A01AB16,mepartricin,,,,
A01AB17,metronidazole,,,,
A01AB18,clotrimazole,,,,
A01AB19,sodium perborate,,,,
A01AB21,chlortetracycline,,,,
A01AB22,doxycycline,,,,
A01AB23,minocycline,1,mg,O,
A01AC01,triamcinolone,,,,
A01AC02,dexamethasone,,,,
A01AC03,hydrocortisone,,,,
A01AC54,"prednisolone, combinations",,,,
A01AD01,epinephrine,,,,
A01AD02,benzydamine,,,,
A01AD05,acetylsalicylic acid,,,,
A01AD06,adrenalone,,,,
A01AD07,amlexanox,,,,
A01AD08,becaplermin,,,,
A01AD11,various,,,,
A02AA01,magnesium carbonate,,,,
A02AA02,magnesium oxide,,,,
A02AA03,magnesium peroxide,,,,
A02AA04,magnesium hydroxide,3,g,O,
A02AA05,magnesium silicate,,,,
A02AA10,combinations,,,,
A02AB01,aluminium hydroxide,,,,
A02AB02,algeldrate,5,g,O,
A02AB03,aluminium phosphate,,,,
A02AB04,dihydroxialumini sodium carbonate,4,g,O,
A02AB05,aluminium acetoacetate,,,,
A02AB06,aloglutamol,,,,
A02AB07,aluminium glycinate,,,,
A02AB10,combinations,,,,
A02AC01,calcium carbonate,,,,
A02AC02,calcium silicate,6,g,O,
A02AC10,combinations,,,,
A02AD01,ordinary salt combinations,,,,Standard dose: 10 tablets or 50 ml mixt
A02AD02,magaldrate,,,,
A02AD03,almagate,,,,
A02AD04,hydrotalcite,,,,
A02AD05,almasilate,,,,
A02AF01,magaldrate and antiflatulents,,,,
A02AF02,ordinary salt combinations and antiflatulents,,,,
A02BA01,cimetidine,0.8,g,O,
A02BA01,cimetidine,0.8,g,P,
A02BA02,ranitidine,0.3,g,O,
A02BA02,ranitidine,0.3,g,P,
A02BA03,famotidine,40,mg,O,
A02BA03,famotidine,40,mg,P,
A02BA04,nizatidine,0.3,g,O,
A02BA04,nizatidine,0.3,g,P,
A02BA05,niperotidine,,,,
A02BA06,roxatidine,0.15,g,O,
A02BA07,ranitidine bismuth citrate,0.8,g,O,
A02BA08,lafutidine,20,mg,O,
A02BA51,"cimetidine, combinations",,,,
A02BA53,"famotidine, combinations",,,,
A02BB01,misoprostol,0.8,mg,O,
A02BB02,enprostil,70,mcg,O,
A02BC01,omeprazole,20,mg,O,
